date,original_date,total,up,count
2017-03-17,2017-03-20,-0.3599987030029297,0,2
2017-06-16,2017-06-19,-0.07999992370605469,0,1
2018-03-16,2018-03-19,0.6400003433227539,2,3
2018-06-15,2018-06-18,0.0,1,2
2018-11-30,,,0,2
2018-12-21,2018-12-24,0.0,1,1
2019-12-06,,,1,1
2019-12-20,2019-12-23,-1.0800018310546875,0,2
