date,total,mean,std,up,count,max,min,sharpe,uppct
7/20/2015,3.069999695,3.069999695,0,1,1,3.069999695,3.069999695,0,1
7/29/2015,0.11000061,0.11000061,0,1,1,0.11000061,0.11000061,0,1
8/28/2015,1.760000229,1.760000229,0,1,1,1.760000229,1.760000229,0,1
9/2/2015,0.759998322,0.759998322,0,1,1,0.759998322,0.759998322,0,1
9/18/2015,0.11000061,0.11000061,0,1,1,0.11000061,0.11000061,0,1
10/7/2015,0.180000305,0.180000305,0,1,1,0.180000305,0.180000305,0,1
11/2/2015,0.156925201,0.156925201,0,1,1,0.156925201,0.156925201,0,1
11/18/2015,0.329999924,0.329999924,0,1,1,0.329999924,0.329999924,0,1
11/19/2015,0.050003052,0.050003052,0,1,1,0.050003052,0.050003052,0,1
12/1/2015,0.010000229,0.010000229,0,1,1,0.010000229,0.010000229,0,1
12/29/2015,0.075000763,0.075000763,0,1,1,0.075000763,0.075000763,0,1
1/5/2016,-1.550132751,-1.550132751,0,0,1,-1.550132751,-1.550132751,0,0
1/19/2016,1.080001831,1.080001831,0,1,1,1.080001831,1.080001831,0,1
2/1/2016,0.029998779,0.01499939,0.154998779,1,2,0.169998169,-0.13999939,1.536192285,0.5
2/22/2016,1.239997864,1.239997864,0,1,1,1.239997864,1.239997864,0,1
3/4/2016,-0.349998474,-0.349998474,0,0,1,-0.349998474,-0.349998474,0,0
3/7/2016,0.420001984,0.420001984,0,1,1,0.420001984,0.420001984,0,1
3/30/2016,0.590000153,0.295000076,0.045000076,2,2,0.340000153,0.25,104.0660687,1
4/4/2016,0.11000061,0.11000061,0,1,1,0.11000061,0.11000061,0,1
4/8/2016,0.049648285,0.049648285,0,1,1,0.049648285,0.049648285,0,1
4/18/2016,-0.130004883,-0.130004883,0,0,1,-0.130004883,-0.130004883,0,0
4/25/2016,0.720001221,0.720001221,0,1,1,0.720001221,0.720001221,0,1
5/3/2016,-0.240005493,-0.240005493,0,0,1,-0.240005493,-0.240005493,0,0
5/13/2016,0.150001526,0.150001526,0,1,1,0.150001526,0.150001526,0,1
5/18/2016,-0.430000305,-0.430000305,0,0,1,-0.430000305,-0.430000305,0,0
5/23/2016,0.190000534,0.190000534,0,1,1,0.190000534,0.190000534,0,1
5/31/2016,0.259998322,0.259998322,0,1,1,0.259998322,0.259998322,0,1
6/3/2016,-0.829986572,-0.829986572,0,0,1,-0.829986572,-0.829986572,0,0
6/22/2016,-0.020000458,-0.020000458,0,0,1,-0.020000458,-0.020000458,0,0
7/1/2016,0.419998169,0.209999084,0.069999695,2,2,0.279998779,0.13999939,47.6235236,1
9/6/2016,0.950012207,0.950012207,0,1,1,0.950012207,0.950012207,0,1
9/8/2016,-1.359985352,-1.359985352,0,0,1,-1.359985352,-1.359985352,0,0
9/22/2016,0.570007324,0.570007324,0,1,1,0.570007324,0.570007324,0,1
9/30/2016,0.350000381,0.350000381,0,1,1,0.350000381,0.350000381,0,1
12/2/2016,0.685211182,0.342605591,1.697395325,1,2,2.040000916,-1.354789734,3.204141703,0.5
1/5/2017,0.200004578,0.200004578,0,1,1,0.200004578,0.200004578,0,1
2/28/2017,-0.430007935,-0.430007935,0,0,1,-0.430007935,-0.430007935,0,0
3/1/2017,0.619995117,0.619995117,0,1,1,0.619995117,0.619995117,0,1
3/2/2017,0,0,0,1,1,0,0,0,1
3/13/2017,-0.049999237,-0.049999237,0,0,1,-0.049999237,-0.049999237,0,0
3/16/2017,0.349998474,0.349998474,0,1,1,0.349998474,0.349998474,0,1
3/20/2017,0.190000534,0.190000534,0,1,1,0.190000534,0.190000534,0,1
4/4/2017,0.54498291,0.54498291,0,1,1,0.54498291,0.54498291,0,1
4/5/2017,0.150001526,0.150001526,0,1,1,0.150001526,0.150001526,0,1
6/2/2017,0.149997711,0.149997711,0,1,1,0.149997711,0.149997711,0,1
6/19/2017,3.820014954,0.955003738,0.498227681,4,4,1.570007324,0.179992676,30.42828598,1
7/26/2017,-0.339998245,-0.067999649,0.176453091,2,5,0.169998169,-0.349998474,-6.117552013,0.4
8/8/2017,-0.659999847,-0.659999847,0,0,1,-0.659999847,-0.659999847,0,0
9/1/2017,0.869995117,0.869995117,0,1,1,0.869995117,0.869995117,0,1
9/18/2017,0.229999542,0.229999542,0,1,1,0.229999542,0.229999542,0,1
10/13/2017,0.569999695,0.569999695,0,1,1,0.569999695,0.569999695,0,1
1/3/2018,1.010009766,1.010009766,0,1,1,1.010009766,1.010009766,0,1
3/7/2018,-1.260009766,-1.260009766,0,0,1,-1.260009766,-1.260009766,0,0
3/19/2018,0.080001831,0.080001831,0,1,1,0.080001831,0.080001831,0,1
