,cik,date,name,value,variable
617,,7/2/2015,Allegheny Technologies,ATI,removed_ticker
846,,7/2/2015,Columbia Pipeline Group,CPGX,added_ticker
616,,7/6/2015,Kraft Foods Group,KRFT,removed_ticker
845,,7/6/2015,Kraft Heinz,KHC,added_ticker
844,,7/8/2015,Advance Auto Parts,AAP,added_ticker
615,,7/8/2015,Family Dollar Stores Inc.,FDO,removed_ticker
843,,7/20/2015,PayPal,PYPL,added_ticker
614,,7/20/2015,Noble Corp,NE,removed_ticker
842,,7/29/2015,Signet Jewelers,SIG,added_ticker
613,,7/29/2015,DirecTV,DTV,removed_ticker
612,,8/28/2015,Pall Corp,PLL,removed_ticker
841,,8/28/2015,Activision Blizzard,ATVI,added_ticker
611,,9/2/2015,Hospira Inc,HSP,removed_ticker
840,,9/2/2015,United Continental Holdings,UAL,added_ticker
837,,9/18/2015,Comcast Class K Special,CMCSK,added_ticker
838,,9/18/2015,Twenty-First Century Fox Class B,FOX,added_ticker
839,,9/18/2015,News Corporation Class B,NWS,added_ticker
610,,10/7/2015,Joy Global,JOY,removed_ticker
836,,10/7/2015,Verisk Analytics,VRSK,added_ticker
609,,11/2/2015,Hudson City Bancorp Inc,HCBK,removed_ticker
835,,11/2/2015,Hewlett Packard Enterprise,HPE,added_ticker
834,,11/18/2015,Synchrony Financial,SYF,added_ticker
608,,11/18/2015,Genworth Financial,GNW,removed_ticker
833,,11/19/2015,Illumina Inc,ILMN,added_ticker
607,,11/19/2015,Sigma-Aldrich Corp,SIAL,removed_ticker
606,,12/1/2015,Computer Sciences Corp,CSC,removed_ticker
832,,12/1/2015,CSRA Inc,CSRA,added_ticker
605,,12/15/2015,Comcast K Corp,CMCSK,removed_ticker
604,,12/29/2015,Altera Corp,ALTR,removed_ticker
831,,12/29/2015,Church & Dwight,CHD,added_ticker
830,,1/5/2016,Willis Towers Watson,WLTW,added_ticker
603,,1/5/2016,Fossil Group,FOSL,removed_ticker
602,,1/19/2016,Chubb Corp,CB,removed_ticker
829,,1/19/2016,Extra Space Storage,EXR,added_ticker
828,,2/1/2016,Federal Realty Investment Trust,FRT,added_ticker
600,,2/1/2016,Precision Castparts Corp.,PCP,removed_ticker
601,,2/1/2016,Broadcom Corporation,BRCM,removed_ticker
827,,2/1/2016,Citizens Financial Group,CFG,added_ticker
599,,2/22/2016,Plum Creek Timber,PCL,removed_ticker
826,,2/22/2016,Concho Resources,CXO,added_ticker
598,,3/4/2016,Consol Energy,CNX,removed_ticker
825,,3/4/2016,American Water Works Company Inc,AWK,added_ticker
597,,3/7/2016,Keurig Green Mountain,GMCR,removed_ticker
824,,3/7/2016,"UDR, Inc.",UDR,added_ticker
595,,3/30/2016,Pepco Holdings Inc,POM,removed_ticker
596,,3/30/2016,Ensco plc (now Valaris plc,ESV,removed_ticker
822,,3/30/2016,Hologic Inc,HOLX,added_ticker
823,,3/30/2016,Centene Corporation,CNC,added_ticker
821,,4/4/2016,Foot Locker Inc,FL,added_ticker
594,,4/4/2016,Cameron International,CAM,removed_ticker
812,,4/8/2016,Under Armour Class C,UA,added_ticker
820,,4/18/2016,"Ulta Salon, Cosmetics & Fragrance Inc",ULTA,added_ticker
593,,4/18/2016,Tenet Healthcare,THC,removed_ticker
819,,4/25/2016,Global Payments Inc.,GPN,added_ticker
592,,4/25/2016,GameStop,GME,removed_ticker
818,,5/3/2016,Acuity Brands Inc,AYI,added_ticker
591,,5/3/2016,ADT Corp,ADT,removed_ticker
590,,5/13/2016,SanDisk Corporation,SNDK,removed_ticker
817,,5/13/2016,Alaska Air Group Inc,ALK,added_ticker
589,,5/18/2016,Time Warner Cable,TWC,removed_ticker
816,,5/18/2016,Digital Realty Trust Inc,DLR,added_ticker
588,,5/23/2016,Airgas Inc,ARG,removed_ticker
815,,5/23/2016,LKQ Corporation,LKQ,added_ticker
587,,5/31/2016,Coca-Cola Enterprises,CCE,removed_ticker
814,,5/31/2016,Arthur J. Gallagher & Co.,AJG,added_ticker
813,,6/3/2016,TransDigm Group,TDG,added_ticker
586,,6/3/2016,Baxalta Inc,BXLT,removed_ticker
585,,6/22/2016,Cablevision Systems,CVC,removed_ticker
811,,6/22/2016,Fortune Brands Home & Security,FBHS,added_ticker
810,,7/1/2016,Albemarle Corp,ALB,added_ticker
584,,7/1/2016,TECO Energy,TE,removed_ticker
809,,7/1/2016,Alliant Energy Corp,LNT,added_ticker
583,,7/1/2016,AGL Resources,GAS,removed_ticker
808,,7/5/2016,Fortive Corp,FTV,added_ticker
582,,7/5/2016,Columbia Pipeline Group,CPGX,removed_ticker
807,,9/6/2016,Mettler Toledo,MTD,added_ticker
581,,9/6/2016,Johnson Controls Inc,JCI,removed_ticker
806,,9/8/2016,Charter Communications,CHTR,added_ticker
580,,9/8/2016,EMC Corporation,EMC,removed_ticker
579,,9/22/2016,Starwood Hotels & Resorts Worldwide Inc,HOT,removed_ticker
805,,9/22/2016,The Cooper Companies,COO,added_ticker
578,,9/30/2016,Diamond Offshore Drilling,DO,removed_ticker
804,,9/30/2016,"Coty, Inc.",COTY,added_ticker
802,,12/2/2016,Mid-America Apartments,MAA,added_ticker
803,,12/2/2016,Envision Healthcare,EVHC,added_ticker
576,,12/2/2016,Owens-Illinois,OI,removed_ticker
577,,12/2/2016,Legg Mason,LM,removed_ticker
575,,1/5/2017,St. Jude Medical,STJ,removed_ticker
801,,1/5/2017,IDEXX Laboratories,IDXX,added_ticker
800,,2/28/2017,Incyte,INCY,added_ticker
574,,2/28/2017,Spectra Energy Corp,SE,removed_ticker
799,,3/1/2017,CBOE Holdings,CBOE,added_ticker
573,,3/1/2017,Pitney Bowes Inc,PBI,removed_ticker
572,,3/2/2017,Endo International,ENDP,removed_ticker
798,,3/2/2017,Regency Centers Corporation,REG,added_ticker
797,,3/13/2017,Dish Network,DISH,added_ticker
571,,3/13/2017,Linear Technology,LLTC,removed_ticker
796,,3/16/2017,Synopsys,SNPS,added_ticker
570,,3/16/2017,Harman Int'l Industries,HAR,removed_ticker
794,,3/20/2017,Raymond James Financial,RJF,added_ticker
795,,3/20/2017,Alexandria Real Estate Equities,ARE,added_ticker
568,,3/20/2017,Frontier Communications,FTR,removed_ticker
569,,3/20/2017,First Solar,FSLR,removed_ticker
793,,3/20/2017,Advanced Micro Devices,AMD,added_ticker
567,,3/20/2017,Urban Outfitters,URBN,removed_ticker
792,,4/4/2017,DXC Technology,DXC,added_ticker
566,,4/4/2017,Southwestern Energy,SWN,removed_ticker
791,,4/5/2017,Gartner Inc,IT,added_ticker
565,,4/5/2017,Dun & Bradstreet,DNB,removed_ticker
790,,6/2/2017,IHS Markit Ltd.,INFO,added_ticker
564,,6/2/2017,"Tegna, Inc.",TGNA,removed_ticker
563,,6/19/2017,Mead Johnson,MJN,removed_ticker
562,,6/19/2017,Ryder Systems Inc.,R,removed_ticker
561,,6/19/2017,Teradata Corp.,TDC,removed_ticker
560,,6/19/2017,Yahoo! Inc.,YHOO,removed_ticker
788,,6/19/2017,ANSYS Inc.,ANSS,added_ticker
789,,6/19/2017,Everest Re Group,RE,added_ticker
786,,6/19/2017,Hilton Worldwide Holdings Inc.,HLT,added_ticker
787,,6/19/2017,Align Technology Inc.,ALGN,added_ticker
558,,7/26/2017,Mallinckrodt,MNK,removed_ticker
555,,7/26/2017,Transocean,RIG,removed_ticker
559,,7/26/2017,Reynolds American,RAI,removed_ticker
556,,7/26/2017,Bed Bath & Beyond,BBBY,removed_ticker
557,,7/26/2017,Murphy Oil,MUR,removed_ticker
782,,7/26/2017,A.O. Smith,AOS,added_ticker
783,,7/26/2017,Packaging Corporation of America,PKG,added_ticker
784,,7/26/2017,ResMed,RMD,added_ticker
785,,7/26/2017,MGM Resorts International,MGM,added_ticker
781,,7/26/2017,Duke Realty Corp,DRE,added_ticker
780,,8/8/2017,Brighthouse Financial Inc,BHF,added_ticker
554,,8/8/2017,AutoNation Inc,AN,removed_ticker
553,,8/29/2017,Whole Foods Market,WFM,removed_ticker
779,,8/29/2017,QuintilesIMS,Q,added_ticker
778,,9/1/2017,SBA Communications,SBAC,added_ticker
552,,9/1/2017,DuPont,DD,removed_ticker
777,,9/18/2017,Cadence Design Systems,CDNS,added_ticker
551,,9/18/2017,Staples Inc.,SPLS,removed_ticker
550,,10/13/2017,Level 3 Communications,LVLT,removed_ticker
776,,10/13/2017,Norwegian Cruise Line Holdings,NCLH,added_ticker
549,,1/3/2018,CR Bard,BCR,removed_ticker
775,,1/3/2018,Huntington Ingalls Industries,HII,added_ticker
548,,3/7/2018,Scripps Networks Interactive,SNI,removed_ticker
774,,3/7/2018,IPG Photonics,IPGP,added_ticker
771,,3/19/2018,Take-Two Interactive,TTWO,added_ticker
772,,3/19/2018,SVB Financial,SIVB,added_ticker
547,,3/19/2018,Chesapeake Energy,CHK,removed_ticker
546,,3/19/2018,Patterson Companies,PDCO,removed_ticker
545,,3/19/2018,Signet Jewelers,SIG,removed_ticker
773,,3/19/2018,Nektar Therapeutics,NKTR,added_ticker
770,,4/4/2018,MSCI,MSCI,added_ticker
544,,4/4/2018,CSRA Inc.,CSRA,removed_ticker
543,,5/31/2018,Wyndham Worldwide,WYN,removed_ticker
769,,5/31/2018,Abiomed,ABMD,added_ticker
542,,6/5/2018,Navient Corp,NAVI,removed_ticker
768,,6/5/2018,Evergy,EVRG,added_ticker
541,,6/7/2018,Monsanto,MON,removed_ticker
767,,6/7/2018,Twitter,TWTR,added_ticker
765,,6/18/2018,Broadridge Financial Solutions,BR,added_ticker
539,,6/18/2018,Range Resources,RRC,removed_ticker
766,,6/18/2018,HollyFrontier,HFC,added_ticker
540,,6/18/2018,Acuity Brands,AYI,removed_ticker
538,,6/20/2018,Time Warner,TWX,removed_ticker
764,,6/20/2018,FleetCor Technologies,FLT,added_ticker
537,,7/2/2018,Dr Pepper Snapple Group,DPS,removed_ticker
763,,7/2/2018,Copart,CPRT,added_ticker
536,,8/28/2018,GGP Inc.,GGP,removed_ticker
762,,8/28/2018,Arista Networks,ANET,added_ticker
535,,9/14/2018,XL Group,XL,removed_ticker
761,,9/14/2018,WellCare,WCG,added_ticker
760,,10/1/2018,Rollins Inc.,ROL,added_ticker
534,,10/1/2018,Andeavor,ANDV,removed_ticker
759,,10/11/2018,Fortinet,FTNT,added_ticker
533,,10/11/2018,Envision Healthcare,EVHC,removed_ticker
532,,11/6/2018,CA Inc.,CA,removed_ticker
758,,11/6/2018,Keysight Technologies,KEYS,added_ticker
531,,11/13/2018,EQT Corp,EQT,removed_ticker
757,,11/13/2018,Jack Henry & Associates,JKHY,added_ticker
530,,12/3/2018,Stericycle,SRCL,removed_ticker
754,,12/3/2018,Lamb Weston Holdings Inc,LW,added_ticker
755,,12/3/2018,Maxim Integrated Products Inc,MXIM,added_ticker
756,,12/3/2018,Diamondback Energy,FANG,added_ticker
528,,12/3/2018,Rockwell Collins,COL,removed_ticker
529,,12/3/2018,Aetna Inc,AET,removed_ticker
527,,12/24/2018,Express Scripts,ESRX,removed_ticker
753,,12/24/2018,Celanese,CE,added_ticker
752,,1/2/2019,First Republic Bank,FRC,added_ticker
526,,1/2/2019,SCANA,SCG,removed_ticker
525,,1/18/2019,PG&E Corp,PCG,removed_ticker
751,,1/18/2019,Teleflex,TFX,added_ticker
524,,2/15/2019,Newfield Exploration,NFX,removed_ticker
750,,2/15/2019,Atmos Energy Corp,ATO,added_ticker
523,,2/27/2019,The Goodyear Tire & Rubber Company,GT,removed_ticker
749,,2/27/2019,Wabtec Corporation,WAB,added_ticker
748,,4/2/2019,Dow Inc.,DOW,added_ticker
522,,4/2/2019,Brighthouse Financial,BHF,removed_ticker
521,,6/3/2019,Fluor Corporation,FLR,removed_ticker
747,,6/3/2019,Corteva,CTVA,added_ticker
520,,6/7/2019,Mattel Inc,MAT,removed_ticker
746,,6/7/2019,Bemis Co Inc,BMS,added_ticker
519,,7/1/2019,L3 Technologies,LLL,removed_ticker
745,,7/1/2019,MarketAxess,MKTX,added_ticker
518,,7/15/2019,Red Hat,RHT,removed_ticker
744,,7/15/2019,T-Mobile US,TMUS,added_ticker
742,,8/9/2019,Leidos Holdings,LDOS,added_ticker
516,,8/9/2019,Anadarko Petroleum,APC,removed_ticker
517,,8/9/2019,Foot Locker,FL,removed_ticker
743,,8/9/2019,IDEX Corporation,IEX,added_ticker
741,,9/23/2019,CDW,CDW,added_ticker
515,,9/23/2019,TSYS,TSS,removed_ticker
740,,9/26/2019,NVR Inc,NVR,added_ticker
514,,9/26/2019,Jefferies Financial Group Inc,JEF,removed_ticker
739,,10/3/2019,Las Vegas Sands,LVS,added_ticker
513,,10/3/2019,Nektar Therapeutics,NKTR,removed_ticker
512,,11/21/2019,Celgene,CELG,removed_ticker
738,,11/21/2019,ServiceNow,NOW,added_ticker
511,,12/5/2019,Viacom,VIAB,removed_ticker
737,,12/5/2019,W. R. Berkley Corporation,WRB,added_ticker
736,,12/9/2019,Old Dominion Freight Line,ODFL,added_ticker
510,,12/9/2019,SunTrust Banks,STI,removed_ticker
507,,12/23/2019,Affiliated Managers Group,AMG,removed_ticker
733,,12/23/2019,Live Nation Entertainment,LYV,added_ticker
509,,12/23/2019,Macerich,MAC,removed_ticker
508,,12/23/2019,TripAdvisor,TRIP,removed_ticker
735,,12/23/2019,STERIS plc,STE,added_ticker
734,,12/23/2019,Zebra Technologies,ZBRA,added_ticker
506,,1/28/2020,WellCare,WCG,removed_ticker
732,,1/28/2020,Paycom,PAYC,added_ticker
731,,3/3/2020,Gardner Denver,GDI,added_ticker
505,,3/3/2020,Cimarex Energy,XEC,removed_ticker
